업태구분명,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
감성주점,25.0,3.0,1.0,0.0,6.0,0.0,2.0,0.0,8.0,1.0,0.0,0.0,12.0,2.0,1.0,0.0,0.0,4.0,0.0,3.0,5.0,2.0,0.0,1.0,0.0
경양식,861.0,54.0,35.0,164.0,158.0,104.0,49.0,34.0,45.0,39.0,53.0,82.0,269.0,197.0,253.0,109.0,78.0,123.0,39.0,108.0,259.0,79.0,224.0,125.0,24.0
기타,697.0,173.0,207.0,70.0,98.0,129.0,154.0,78.0,160.0,52.0,155.0,202.0,959.0,217.0,301.0,170.0,246.0,681.0,223.0,227.0,422.0,237.0,236.0,184.0,83.0
기타 휴게음식점,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
김밥(도시락),54.0,11.0,8.0,4.0,13.0,15.0,5.0,3.0,4.0,8.0,7.0,6.0,11.0,8.0,18.0,8.0,10.0,14.0,10.0,14.0,7.0,3.0,3.0,8.0,2.0
까페,87.0,26.0,52.0,2.0,34.0,51.0,14.0,18.0,31.0,26.0,27.0,19.0,359.0,52.0,153.0,17.0,50.0,50.0,22.0,56.0,58.0,13.0,22.0,48.0,3.0
냉면집,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
다방,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
라이브카페,9.0,3.0,0.0,3.0,4.0,3.0,1.0,3.0,5.0,3.0,0.0,1.0,4.0,2.0,2.0,0.0,0.0,4.0,1.0,4.0,0.0,2.0,0.0,1.0,0.0
룸살롱,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
복어취급,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0
분식,300.0,124.0,96.0,114.0,186.0,134.0,146.0,58.0,120.0,78.0,104.0,121.0,191.0,159.0,211.0,84.0,84.0,182.0,111.0,193.0,80.0,191.0,103.0,122.0,104.0
뷔페식,26.0,15.0,11.0,15.0,13.0,6.0,6.0,10.0,9.0,3.0,7.0,4.0,9.0,3.0,17.0,4.0,3.0,15.0,8.0,17.0,8.0,5.0,11.0,16.0,2.0
식육(숯불구이),11.0,9.0,19.0,8.0,35.0,0.0,1.0,39.0,18.0,23.0,17.0,22.0,1.0,5.0,9.0,5.0,4.0,5.0,18.0,2.0,19.0,4.0,1.0,8.0,0.0
식품등 수입판매업,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
외국음식전문점(인도태국등),66.0,6.0,0.0,16.0,17.0,7.0,14.0,5.0,3.0,5.0,6.0,10.0,63.0,18.0,29.0,5.0,4.0,8.0,10.0,18.0,49.0,5.0,43.0,28.0,1.0
