,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
경양식,2.3502770902077383,0.08527075596788702,0.09800942850702238,0.4459729500253004,0.3779605250070619,0.45031606558853493,0.28263091699601023,0.12260661667041298,0.09615292160652301,0.31015541888040093,0.198717420988534,0.5286596464022194,0.8158238241610174,0.3777160142147127,0.45005140060733256,0.6085871648966924,0.2707544572952532,0.27094519230335024,0.08804987144718768,0.47219633426529983,1.8698190430681654,0.1251540959806762,1.934161154307377,0.907310655607558,0.07601113816544584
기타,1.846646285163223,0.5542599137912657,0.8167452375585198,0.12006964039142702,0.3779605250070619,0.45031606558853493,0.6359195632410231,0.24521323334082595,0.5384563609965288,0.15507770944020047,0.823257886952498,0.931447948422958,3.9475346330371806,0.7869083629473181,0.7579813062860338,0.5409663687970598,0.9702034719746574,1.7009337072376987,0.6603740358539076,0.6461634047840944,2.6177466602954316,0.7717835918808367,1.3539128080151637,1.2853567621107072,0.3040445526617834
김밥(도시락),0.27979489169139743,0.04263537798394351,0.032669809502340795,0.051458417310611584,0.07957063684359199,0.14072377049641718,0.0,0.0,0.0,0.0,0.056776405996724004,0.05034853775259232,0.05263379510716241,0.03147633451789272,0.023686915821438555,0.06762079609963248,0.0451257428825422,0.030105021367038916,0.0,0.07455731593662628,0.08310306858080733,0.02085901599677937,0.06447203847691256,0.0,0.0
까페,0.2611418989119709,0.06395306697591528,0.09800942850702238,0.0,0.15914127368718398,0.19701327869498403,0.04710515283266836,0.04086887222347099,0.038461168642609206,0.062031083776080194,0.11355281199344801,0.10069707550518464,1.2368941850183164,0.0,0.4974252322502096,0.06762079609963248,0.20306584297143992,0.13547259615167512,0.06603740358539076,0.09940975458216837,0.24930920574242202,0.0,0.0,0.30243688520251927,0.0
분식,0.8393846750741923,0.5116245358073223,0.09800942850702238,0.46312575579550425,0.47742382106155185,0.5628950819856687,0.28263091699601023,0.4904264666816519,0.46153402371131047,0.21710879321628068,0.482599450972154,0.6545309907837001,0.8684576192681797,0.5036213522862836,0.33161682150013977,0.40572477659779493,0.31588020017779544,0.39136527777150587,0.26414961434156303,0.47219633426529983,0.5817214800656515,0.5006163839227048,0.45130426933838796,1.814621311215116,0.43072978293752645
뷔페식,0.05595897833827949,0.04263537798394351,0.0,0.03430561154040772,0.05967797763269398,0.0844342622978503,0.0,0.04086887222347099,0.019230584321304603,0.0,0.0,0.0,0.0,0.03147633451789272,0.023686915821438555,0.03381039804981624,0.0225628714412711,0.04515753205055838,0.06603740358539076,0.024852438645542093,0.08310306858080733,0.0,0.06447203847691256,0.07560922130062982,0.0
식육(숯불구이),0.09326496389713247,0.04263537798394351,0.09800942850702238,0.0,0.09946329605448997,0.0,0.0,0.2860821055642969,0.07692233728521841,0.0930466256641203,0.08516460899508599,0.05034853775259232,0.0,0.03147633451789272,0.0,0.0,0.0,0.015052510683519458,0.02201246786179692,0.0,0.04155153429040367,0.0,0.0,0.07560922130062982,0.0
일식,0.9139966461918982,0.14922382294380232,0.3266980950234079,0.2572920865530579,0.21881925131987795,0.3377370491914012,0.21197318774700766,0.16347548889388397,0.1730752588917414,0.15507770944020047,0.255493826985258,0.1258713443814808,0.7105562339466925,0.2832870106610345,0.45005140060733256,0.20286238829889747,0.1805029715301688,0.2859977029868697,0.17609974289437536,0.47219633426529983,0.4570668771944404,0.1460131119774556,0.580248346292213,1.209747540810077,0.2026963684411889
정종/대포집/소주방,0.03730598555885299,0.021317688991971756,0.09800942850702238,0.37736172694448494,0.13924861447628595,0.056289508198566866,0.07065772924900256,0.2860821055642969,0.0,0.0930466256641203,0.22710562398689602,0.4531368397733309,0.10526759021432482,0.09442900355367817,0.09474766328575422,0.10143119414944873,0.0676886143238133,0.030105021367038916,0.08804987144718768,0.07455731593662628,0.0,0.08343606398711748,0.06447203847691256,0.0,0.3547186447720806
중국식,0.29844788447082393,0.12790613395183056,0.16334904751170395,0.1715280577020386,0.15914127368718398,0.2533027868935509,0.4710515283266837,0.204344361117355,0.09615292160652301,0.062031083776080194,0.14194101499181,0.1258713443814808,0.2894858730893932,0.06295266903578545,0.23686915821438556,0.13524159219926496,0.0451257428825422,0.10536757478463621,0.02201246786179692,0.5964585274930102,0.16620613716161467,0.08343606398711748,0.1934161154307377,0.7560922130062983,0.025337046055148613
통닭(치킨),0.4476718267062359,0.5755776027832374,0.8820848565632013,0.6518066192677467,0.8752770052795118,1.0695006557727704,0.7301298689063597,0.8582463166928909,0.6153786982817473,0.5272642120966817,0.936810698945946,0.8810994106703656,1.1053096972504106,0.5980503558399617,0.5684859797145253,0.6085871648966924,0.3610059430603376,0.5569428952902199,0.7704363751628923,0.7207207207207208,0.4570668771944404,0.5840524479098224,0.3223601923845628,0.8317014343069281,0.5827520592684181
패밀리레스트랑,0.0,0.0,0.0,0.0,0.0,0.028144754099283433,0.0,0.0,0.0,0.0,0.0,0.0,0.026316897553581204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
