,지역(구),폐업연월,경양식,기타,김밥(도시락),까페,분식,뷔페식,식육(숯불구이),외국음식전문점(인도태국등),일식,정종/대포집/소주방,중국식,통닭(치킨),패밀리레스트랑,패스트푸드,한식,횟집
12,강남구,202002,3.353658537,1.462522852,6.52173913,5.0,2.212389381,0.0,11.11111111,0.0,1.234567901,0.0,3.260869565,1.449275362,0.0,1.388888889,2.53164557,0.0
13,강남구,202003,3.81097561,2.742230347,2.173913043,1.666666667,3.539823009,0.0,0.0,3.448275862,3.29218107,0.0,6.52173913,5.797101449,0.0,1.388888889,4.244229337,0.0
14,강남구,202004,3.201219512,2.742230347,2.173913043,3.333333333,3.539823009,0.0,0.0,1.724137931,4.526748971,0.0,4.347826087,0.724637681,0.0,6.944444444,2.978406552,0.0
15,강남구,202005,2.896341463,1.828153565,2.173913043,0.0,1.769911504,5.263157895,0.0,3.448275862,2.880658436,0.0,2.173913043,2.898550725,0.0,2.777777778,2.159344751,0.0
16,강남구,202006,3.353658537,3.839122486,6.52173913,0.0,1.327433628,5.263157895,11.11111111,1.724137931,4.115226337,0.0,3.260869565,2.898550725,0.0,2.777777778,3.12732688,0.0
17,강남구,202007,3.048780488,2.193784278,2.173913043,1.666666667,2.212389381,0.0,0.0,1.724137931,3.703703704,0.0,5.434782609,0.724637681,16.66666667,4.166666667,3.499627699,0.0
18,강남구,202008,2.43902439,2.925045704,4.347826087,1.666666667,3.539823009,5.263157895,0.0,0.0,2.469135802,14.28571429,4.347826087,0.0,0.0,0.0,2.606105733,0.0
19,강남구,202009,3.048780488,3.473491773,2.173913043,5.0,2.654867257,0.0,0.0,1.724137931,2.469135802,0.0,1.086956522,4.347826087,0.0,4.166666667,3.425167535,0.0
20,강남구,202010,3.658536585,3.290676417,4.347826087,6.666666667,3.097345133,5.263157895,0.0,1.724137931,3.29218107,0.0,4.347826087,2.898550725,0.0,0.0,3.574087863,0.0
21,강남구,202011,3.201219512,2.742230347,0.0,3.333333333,4.867256637,0.0,0.0,8.620689655,2.469135802,14.28571429,1.086956522,2.898550725,0.0,5.555555556,3.499627699,0.0
22,강남구,202012,3.506097561,2.925045704,6.52173913,3.333333333,1.769911504,5.263157895,0.0,6.896551724,4.115226337,0.0,2.173913043,5.797101449,0.0,1.388888889,3.499627699,0.0
23,강남구,202101,2.43902439,2.925045704,2.173913043,1.666666667,3.982300885,10.52631579,0.0,1.724137931,3.29218107,0.0,4.347826087,0.724637681,0.0,6.944444444,3.201787044,0.0
