,지역(구),폐업연월,경양식,기타,김밥(도시락),까페,분식,뷔페식,식육(숯불구이),외국음식전문점(인도태국등),일식,정종/대포집/소주방,중국식,통닭(치킨),패밀리레스트랑,패스트푸드,한식,횟집
0,강남구,201902,4.268292683,2.742230347,4.347826087,0.0,3.539823009,0.0,11.11111111,0.0,2.057613169,0.0,5.434782609,2.173913043,16.66666667,5.555555556,2.978406552,0.0
1,강남구,201903,2.591463415,1.645338208,2.173913043,8.333333333,3.539823009,0.0,11.11111111,0.0,3.29218107,0.0,2.173913043,5.797101449,0.0,2.777777778,2.308265078,0.0
2,강남구,201904,4.115853659,2.010968921,2.173913043,5.0,2.654867257,10.52631579,0.0,1.724137931,4.526748971,0.0,2.173913043,2.898550725,0.0,1.388888889,2.755026061,0.0
3,강남구,201905,3.201219512,4.021937843,0.0,1.666666667,4.424778761,5.263157895,0.0,6.896551724,6.172839506,0.0,1.086956522,4.347826087,0.0,2.777777778,4.09530901,0.0
4,강남구,201906,3.963414634,4.387568556,0.0,5.0,2.654867257,0.0,0.0,0.0,1.234567901,0.0,2.173913043,4.347826087,0.0,5.555555556,2.680565897,0.0
5,강남구,201907,2.591463415,2.559414991,2.173913043,5.0,3.539823009,5.263157895,0.0,3.448275862,1.646090535,0.0,1.086956522,0.724637681,0.0,5.555555556,2.382725242,0.0
6,강남구,201908,3.963414634,3.65630713,6.52173913,3.333333333,1.769911504,5.263157895,0.0,6.896551724,4.938271605,0.0,1.086956522,2.898550725,0.0,6.944444444,2.680565897,0.0
7,강남구,201909,2.743902439,1.828153565,6.52173913,1.666666667,3.097345133,5.263157895,0.0,8.620689655,2.469135802,0.0,3.260869565,4.347826087,0.0,2.777777778,2.606105733,25.0
8,강남구,201910,2.896341463,2.925045704,2.173913043,3.333333333,1.769911504,0.0,33.33333333,1.724137931,3.703703704,0.0,1.086956522,0.0,0.0,0.0,2.382725242,25.0
9,강남구,201911,1.829268293,2.559414991,6.52173913,5.0,4.424778761,0.0,0.0,3.448275862,3.703703704,14.28571429,2.173913043,2.898550725,0.0,8.333333333,3.574087863,0.0
10,강남구,201912,2.591463415,5.301645338,2.173913043,5.0,0.884955752,5.263157895,11.11111111,0.0,3.29218107,0.0,3.260869565,2.898550725,0.0,2.777777778,2.606105733,0.0
11,강남구,202001,5.335365854,3.473491773,4.347826087,3.333333333,7.522123894,0.0,0.0,6.896551724,3.703703704,14.28571429,3.260869565,5.072463768,0.0,5.555555556,4.542069993,0.0
33,강동구,201902,0.0,2.205882353,12.5,0.0,5.681818182,0.0,0.0,20.0,0.0,4.761904762,0.0,2.097902098,0.0,0.0,1.679104478,0.0
34,강동구,201903,11.42857143,2.205882353,0.0,6.25,1.136363636,0.0,0.0,0.0,0.0,0.0,3.125,4.895104895,0.0,0.0,3.544776119,0.0
35,강동구,201904,2.857142857,1.470588235,0.0,6.25,2.272727273,11.11111111,0.0,0.0,8.823529412,9.523809524,3.125,4.195804196,0.0,14.28571429,4.291044776,18.18181818
36,강동구,201905,2.857142857,5.147058824,12.5,0.0,4.545454545,0.0,0.0,20.0,2.941176471,0.0,3.125,3.496503497,0.0,14.28571429,4.47761194,0.0
37,강동구,201906,2.857142857,1.470588235,0.0,0.0,4.545454545,0.0,0.0,0.0,2.941176471,9.523809524,3.125,1.398601399,0.0,0.0,4.104477612,0.0
38,강동구,201907,0.0,5.147058824,0.0,6.25,0.0,0.0,0.0,0.0,0.0,4.761904762,0.0,4.895104895,0.0,0.0,3.358208955,0.0
39,강동구,201908,5.714285714,2.205882353,25.0,6.25,0.0,22.22222222,0.0,0.0,0.0,0.0,0.0,2.097902098,0.0,0.0,2.23880597,0.0
40,강동구,201909,2.857142857,4.411764706,12.5,0.0,5.681818182,0.0,0.0,0.0,8.823529412,0.0,0.0,2.797202797,0.0,0.0,2.985074627,0.0
41,강동구,201910,2.857142857,3.676470588,0.0,0.0,4.545454545,0.0,0.0,0.0,0.0,0.0,3.125,1.398601399,0.0,14.28571429,4.104477612,0.0
42,강동구,201911,2.857142857,3.676470588,0.0,6.25,3.409090909,0.0,0.0,0.0,5.882352941,0.0,9.375,4.195804196,0.0,0.0,3.171641791,0.0
