날짜,건수
2019-08-01,3761
2019-08-02,4203
2019-08-03,5341
2019-08-04,5534
2019-08-05,4310
2019-08-06,4226
2019-08-07,4129
2019-08-08,4299
2019-08-09,5791
2019-08-10,5227
2019-08-11,6092
2019-08-12,3466
2019-08-13,3345
2019-08-14,3820
2019-08-15,5485
2019-08-16,3892
2019-08-17,4544
2019-08-18,4693
2019-08-19,2910
2019-08-20,3125
2019-08-21,3176
2019-08-22,3090
2019-08-23,3588
2019-08-24,4535
2019-08-25,4913
2019-08-26,2960
2019-08-27,3044
2019-08-28,3177
2019-08-29,3639
2019-08-30,3923
2019-08-31,4422
2019-09-01,4709
2019-09-02,3737
2019-09-03,4209
2019-09-04,5114
2019-09-05,5072
2019-09-06,6368
2019-09-07,1965
2019-09-08,5813
2019-09-09,3247
2019-09-10,4242
2019-09-11,4056
2019-09-12,3942
2019-09-13,2964
2019-09-14,4411
2019-09-15,5299
2019-09-16,3297
2019-09-17,3226
2019-09-18,3321
2019-09-19,3376
2019-09-20,4654
2019-09-21,5673
2019-09-22,6636
2019-09-23,3404
2019-09-24,3494
2019-09-25,3527
2019-09-26,5319
2019-09-27,7035
2019-09-28,8072
2019-09-29,8186
2019-09-30,5621
2019-10-01,5509
2019-10-02,7571
2019-10-03,8104
2019-10-04,6352
2019-10-05,7414
2019-10-06,7437
2019-10-07,6857
2019-10-08,5856
2019-10-09,7720
2019-10-10,4178
2019-10-11,4711
2019-10-12,5248
2019-10-13,5507
2019-10-14,5229
2019-10-15,4458
2019-10-16,4731
2019-10-17,4916
2019-10-18,5898
2019-10-19,5438
2019-10-20,5590
2019-10-21,3580
2019-10-22,3394
2019-10-23,3300
2019-10-24,3628
2019-10-25,4385
2019-10-26,5555
2019-10-27,5743
2019-10-28,3451
2019-10-29,3391
2019-10-30,3338
2019-10-31,3847
2019-11-01,5876
2019-11-02,8409
2019-11-03,8154
2019-11-04,5628
2019-11-05,5905
2019-11-06,5854
2019-11-07,4520
2019-11-08,5634
2019-11-09,5740
2019-11-10,6706
2019-11-11,4103
2019-11-12,3683
2019-11-13,4510
2019-11-14,4823
2019-11-15,5934
2019-11-16,5787
2019-11-17,7406
2019-11-18,3903
2019-11-19,4128
2019-11-20,4006
2019-11-21,3992
2019-11-22,4596
2019-11-23,5574
2019-11-24,6654
2019-11-25,3830
2019-11-26,3675
2019-11-27,3906
2019-11-28,4216
2019-11-29,5152
2019-11-30,6280
2019-12-01,2611
2019-12-02,3530
2019-12-03,4124
2019-12-04,4008
2019-12-05,4516
2019-12-06,5418
2019-12-07,6481
2019-12-08,6599
2019-12-09,4221
2019-12-10,4196
2019-12-11,4246
2019-12-12,4485
2019-12-13,5314
2019-12-14,6302
2019-12-15,6157
2019-12-16,3674
2019-12-17,8322
2019-12-18,4163
2019-12-19,4287
2019-12-20,5121
2019-12-21,6420
2019-12-22,6392
2019-12-23,4235
2019-12-24,5928
2019-12-25,6882
2019-12-26,4345
2019-12-27,5270
2019-12-28,6247
2019-12-29,6463
2019-12-30,4960
2019-12-31,7510
2020-01-01,6296
2020-01-02,3927
2020-01-03,4870
2020-01-04,5924
2020-01-05,5959
2020-01-06,8106
2020-01-07,4932
2020-01-08,4095
2020-01-09,4408
2020-01-10,5126
2020-01-11,6288
2020-01-12,6293
2020-01-13,3993
2020-01-14,4148
2020-01-15,4256
2020-01-16,4566
2020-01-17,5316
2020-01-18,6194
2020-01-19,6135
2020-01-20,3767
2020-01-21,3915
2020-01-22,4002
2020-01-23,4825
2020-01-24,4217
2020-01-25,3355
2020-01-26,4899
2020-01-27,5894
2020-01-28,3894
2020-01-29,3909
2020-01-30,4236
2020-01-31,5696
2020-02-01,6776
2020-02-02,6999
2020-02-03,4292
2020-02-04,4613
2020-02-05,4931
2020-02-06,4916
2020-02-07,5611
2020-02-08,7104
2020-02-09,7081
2020-02-10,4461
2020-02-11,4144
2020-02-12,5122
2020-02-13,4435
2020-02-14,5359
2020-02-15,6438
2020-02-16,6522
2020-02-17,4382
2020-02-18,4727
2020-02-19,4651
2020-02-20,4728
2020-02-21,6003
2020-02-22,7683
2020-02-23,6983
2020-02-24,4446
2020-02-25,5328
2020-02-26,5003
2020-02-27,5260
2020-02-28,6766
2020-02-29,6885
2020-03-01,7178
2020-03-02,4769
2020-03-03,4795
2020-03-04,4957
2020-03-05,4988
2020-03-06,5938
2020-03-07,6514
2020-03-08,6465
2020-03-09,4338
2020-03-10,5674
2020-03-11,5105
2020-03-12,5329
2020-03-13,6210
2020-03-14,6952
2020-03-15,6860
2020-03-16,4307
2020-03-17,4697
2020-03-18,4463
2020-03-19,5091
2020-03-20,5745
2020-03-21,6449
2020-03-22,6476
2020-03-23,4380
2020-03-24,4496
2020-03-25,4539
2020-03-26,4972
2020-03-27,5847
2020-03-28,6569
2020-03-29,6541
2020-03-30,4289
2020-03-31,5141
2020-04-01,5086
2020-04-02,4896
2020-04-03,5916
2020-04-04,6705
2020-04-05,6412
2020-04-06,4339
2020-04-07,4136
2020-04-08,4567
2020-04-09,4459
2020-04-10,5262
2020-04-11,6251
2020-04-12,6538
2020-04-13,4240
2020-04-14,5049
2020-04-15,6224
2020-04-16,4359
2020-04-17,6037
2020-04-18,6030
2020-04-19,7139
2020-04-20,4564
2020-04-21,4442
2020-04-22,4662
2020-04-23,4548
2020-04-24,5558
2020-04-25,6474
2020-04-26,6863
2020-04-27,4205
2020-04-28,4204
2020-04-29,5002
2020-04-30,5642
2020-05-01,5472
2020-05-02,5819
2020-05-03,5942
2020-05-04,5107
2020-05-05,6326
2020-05-06,3762
2020-05-07,4183
2020-05-08,6468
2020-05-09,7397
2020-05-10,6554
2020-05-11,4481
2020-05-12,4561
2020-05-13,4623
2020-05-14,4831
2020-05-15,6766
2020-05-16,6756
2020-05-17,6644
2020-05-19,4746
2020-05-20,4435
2020-05-21,4745
2020-05-22,5606
2020-05-23,6714
2020-05-24,6833
2020-05-25,4528
2020-05-26,4729
2020-05-27,4248
2020-05-28,4805
2020-05-29,5511
2020-05-30,6751
2020-05-31,6899
2020-06-01,4389
2020-06-02,4601
2020-06-03,4346
2020-06-04,4670
2020-06-05,5555
