업태구분명,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
경양식,84.14853333,84.64938272,86.40411417,64.07326316,89.43851485,83.905,99.90706667,101.740315,73.54261364,74.70134969,77.99110294,94.37427105,81.30778736,147.4833459,75.84776699,84.2030814,110.3683636,101.88425,133.6080864,93.55982412,66.40828125,109.9273214,146.8550883,65.01042857
기타,59.80641089,66.00014815,79.05962791,64.69406154,80.54178694,60.50015625,74.24519313,63.85342342,54.93276316,56.19717314,63.70363821,72.01498986,69.27313978,91.46538781,69.37073906,59.69103133,85.90882064,55.55453608,73.26450832,76.15481809,60.18069182,79.41676596,85.58045699,58.50272997
김밥(도시락),38.1085,41.47454545,37.49896552,37.02555556,40.72885714,46.59571429,58.2475,61.14117647,39.47888889,30.50615385,28.886,41.884,49.92909091,38.79522727,45.6675,39.87333333,53.04921053,33.51,41.62730769,42.176,35.16166667,52.60333333,42.1748,58
까페,71.10355556,55.36189873,47.50727273,92.93857143,57.01024691,61.7,50.91133333,84.42708333,25.191,81.11361111,87.45434783,78.73934021,75.24761905,91.0182199,59.9525,54.20131313,77.79454545,57.11225806,74.38042105,80.67472727,75.13913043,69.96857143,81.92512821,54.34927273
분식,40.62779456,34.16934109,39.44432665,36.97208247,47.84118943,35.0626158,40.23367925,40.7633046,31.67083333,34.45247273,36.02715328,43.51577197,45.40627907,47.2694023,40.64993976,36.16405286,43.61341284,36.29106383,44.01480069,39.64967742,37.13110294,50.61017442,42.95463608,34.92698997
뷔페식,504.0814286,512.3885714,1105.631667,547.98,962.0847368,1696.253636,1500.046,995.2353846,250.4542857,705.7163636,473.0929412,1128.248333,314.008,724.1106897,541.3307692,688.055,374.0104545,746.91,826.5085366,1211.99125,546.1155556,617.4609091,477.174,1189.894286
식육(숯불구이),88.81575758,107.0944,101.3476,77.35876923,114.0081818,84.17823529,100.3390789,76.60196429,88.77474576,86.02434783,72.12372549,164.4938462,84.264,153.7083333,103.1,117.51,72.05212121,92.48255814,89.726,73.43534884,96.826,50.39,118.5958621,53.58764706
외국음식전문점(인도태국등),53.50375,48.63,86.19918919,54.30478261,71.39787879,75.60766667,70.91333333,70.16866667,56.339,58.284375,52.33052632,67.19684685,60.82515152,97.2092,69.01882353,55.91684211,53.03586957,53.948125,94.53036364,74.56074286,73.585625,71.47661972,79.20766129,59.325
일식,60.78573684,67.41805085,77.11047022,59.29375,72.86219178,86.02906667,82.74679487,76.11712707,65.26641667,64.23340278,72.40240876,75.78987578,68.18754601,117.8941964,63.1884,60.64922481,82.89643052,71.09116667,99.42775811,73.36049383,66.24264151,85.0730303,111.1771233,58.65482456
정종/대포집/소주방,69.9362069,45.66625,60.27577778,62.65669014,68.59316456,52.39347826,44.27453846,127.3072727,55.94736842,49.55971014,52.23908451,117.7923684,61.88743902,95.24957447,55.48047619,46.32911111,54.41666667,46.71891892,57.7321,52.74704545,52.08746032,79.43,47.78767857,43.44564286
중국식,73.62866197,76.34064103,86.04299539,75.9539548,90.57687151,72.22307692,77.78450549,92.23242857,72.11166667,76.39329114,93.18990654,104.5819725,96.49451613,165.700411,81.78333333,74.80837209,130.8574874,76.13252252,97.91760314,102.3095,81.98850877,138.9270667,164.250181,55.89406593
통닭(치킨),54.87564648,56.12789256,56.50409449,57.18475645,67.07280285,62.27764339,53.13495984,62.43981324,48.9803653,54.35098305,55.313125,78.26940224,64.2627451,95.49174603,57.12697802,57.63336614,62.53968577,55.46366603,68.24500701,62.0160076,55.07493976,80.68262295,71.30586103,50.30082317
패밀리레스트랑,53.445,137.4025,122.29,73.9625,204.78,71.433,216.02,120.5583333,49.4,18.84,175.5333333,171.33375,129.4066667,146.4305263,168.505,301.61,87.5347619,81.87333333,165.4509091,356.57,367.06,90.92,148.5307143,57.26
패스트푸드,55.16571429,56.7615,49.424,46.7424,105.1477778,47.06484848,39.6275,55.45888889,49.50157895,41.77791667,61.9752,45.5936,66.986,74.57125,48.37740741,64.21190476,72.96785714,47.9525,65.99033333,66.0675,41.81933333,60.9,62.485,39.89125
한식,73.41018219,64.75881714,77.0997787,68.77427813,79.20642194,76.58728342,90.02770161,72.39985649,67.1185,63.63658926,65.70182247,80.37598881,73.55526154,121.6687518,66.95817654,65.28635212,87.7274597,79.72982386,92.05896711,74.4257971,68.40585805,84.7563489,90.45175347,60.79917156
횟집,70.61046512,66.72619048,93.34071429,73.25795455,53.86428571,78.47538462,76.40538462,52.6328,83.978,78.29411765,95.61756757,66.798,49.335625,150.18,54.09117647,70.48805556,48.8052381,75.28325581,94.86785714,57.4225,103.618,104.57,74.38333333,77.72693878
